server_name,n_records,n_unique,n_is_version_of,n_published,pct_published,collection_date,count_2024,count_2025
TechRxiv,21914,10335,10219,2392.0,23.144654088050316,2026-02-17,575.0,514.0
Therapoid,2,1,1,0.0,0.0,2026-02-17,0.0,0.0
Thesis Commons,1311,653,651,104.0,15.926493108728943,2026-02-17,23.0,31.0
UCL Open Environment,448,154,154,8.0,5.194805194805195,2026-02-17,10.0,4.0
UnisaRxiv,9,8,8,0.0,0.0,2026-02-17,1.0,0.0
VeriXiv,137,83,82,6.0,7.228915662650602,2026-02-17,17.0,42.0
Wellcome Open Research,2492,1186,1186,70.0,5.902192242833052,2026-02-17,143.0,55.0
WikiJournal of Humanities,3,2,2,1.0,50.0,2026-02-17,0.0,0.0
WikiJournal of Medicine,13,7,7,1.0,14.285714285714285,2026-02-17,0.0,0.0
WikiJournal of Science,3,2,2,0.0,0.0,2026-02-17,0.0,0.0
Zenodo,160153,64074,63837,63707.0,99.42722477135811,2026-02-17,4019.0,50241.0
arXiv,154290,103264,103077,49631.0,48.06224821815928,2026-02-17,4605.0,2139.0
bioRxiv,21671,21245,21210,10844.0,51.04259825841374,2026-02-17,2481.0,1192.0
eLife,28348,17688,10057,5176.0,29.262777023971054,2026-02-17,81.0,94.0
engrXiv,872,817,811,233.0,28.518971848225217,2026-02-17,44.0,41.0
medRxiv,5180,4894,4866,2788.0,56.96771557008582,2026-02-17,470.0,268.0
prepare@u,7,5,5,0.0,0.0,2026-02-17,0.0,0.0
searchRxiv,2,1,1,0.0,0.0,2026-02-17,0.0,0.0
viXra,1792,1454,1454,232.0,15.955983493810177,2026-02-17,11.0,4.0
